Date,Date,Close,daily_risk_free_rate,new_rfr,signal,margin,margin_high_rfr,position,cash,cash_with_high_rfr,bank_account,bank_account_with_high_rfr,excess_return,theta,pnl,pnl_capital,pnl_total,cumulative_pnl,cumulative_pnl_capital,cumulative_pnl_total,turn_over_theta,cumulative_turn_over_theta,turn_over_units,Upper_bound,Lower_bound,pnl_150,pnl_capital_150,pnl_total_150,cumulative_pnl_150,cumulative_pnl_capital_150,cumulative_pnl_total_150
2016-07-12,2016-07-12,40.294998,1.5873015873015872e-05,2.3809523809523807e-05,0,964173.4993374031,953796.5065714695,216377.39157767818,7457823.275845953,7447497.819164975,6493649.77650855,6493701.312593505,-0.014069024078028491,8718926.560867758,-124557.58707070583,103.07216991018504,-124454.51490079518,764173.4993374031,6493649.77650855,7257823.275845953,124417.21653455682,535273705.5546576,0.0,9641734.993374031,-9641734.993374031,-124627.77233878046,103.07298792991787,-124524.69935085066,753796.5065714695,6493701.312593505,7247497.819164975
2016-07-13,2016-07-13,40.674999,1.5873015873015872e-05,2.3809523809523807e-05,0,1046258.728854616,1035812.5382588343,216377.39157767818,7540011.579169143,7529616.925476348,6493752.850314527,6493804.387217514,0.009430475713139383,8801150.186044669,82085.22951721295,103.07380597665906,82188.30332318973,846258.728854616,6493752.850314527,7340011.579169143,82223.62517691031,535355929.1798345,0.0,10462587.28854616,-10462587.28854616,82016.0316873648,103.07462400943041,82119.10631137341,835812.5382588343,6493804.387217514,7329616.925476348
2016-07-14,2016-07-14,40.145,1.5873015873015872e-05,2.3809523809523807e-05,-1,931439.226899235,920923.1859051513,-232018.73879667078,7425295.152655831,7414830.64938278,6493855.925756595,6493907.463477629,-0.013030092514568877,-9314392.26899235,-114819.50195538101,103.07544206827879,-114716.42651331238,731439.226899235,6493855.925756595,7225295.152655831,18115542.45503702,553471471.6348715,448396.13037434896,9314392.26899235,-9314392.26899235,-114889.35235368297,103.07626011501998,-114786.27609356772,720923.1859051513,6493907.463477629,7214830.64938278
2016-07-15,2016-07-15,39.82,1.5873015873015872e-05,2.3809523809523807e-05,0,855885.2892939831,845295.3245517329,-232018.73879667078,7349844.292128765,7339305.865925608,6493959.002834782,6494010.541373875,0.00809565325694365,-9238986.17888343,-75553.93760525191,103.07707818690687,-75450.86052706558,655885.2892939831,6493959.002834782,7149844.292128765,75406.09010891989,553546877.7249804,0.0,8558852.892939832,-8558852.892939832,-75627.86135341844,103.07789624575526,-75524.7834571721,645295.3245517329,6494010.541373875,7139305.865925608
2016-07-18,2016-07-18,39.764999,1.5873015873015872e-05,2.3809523809523807e-05,0,843911.060238624,833253.0741386017,-215235.83825413475,7337973.141787737,7327366.69504488,6494062.081549113,6494113.6209062785,0.0013812405826217275,-8558852.89293983,-11974.229055359145,103.07871433068067,-11871.150341028348,643911.060238624,6494062.081549113,7137973.141787737,680133.2859435994,554227011.010924,16782.900542536023,8439110.60238624,-8439110.60238624,-12042.250413131202,103.07953240349889,-11939.170880728401,633253.0741386017,6494113.6209062785,7127366.69504488
2016-07-19,2016-07-19,40.0,1.5873015873015872e-05,2.3809523809523807e-05,0,893357.8788527629,882633.3091764181,-210977.76505965603,7387523.040752376,7376850.011251282,6494165.161899613,6494216.702074864,-0.005909744899025318,-8439110.602386242,49446.81861413887,103.0803505005315,49549.89896463975,693357.8788527629,6494165.161899613,7187523.040752376,119742.29055358842,554346753.3014776,4258.073194478726,8933578.788527628,-8933578.788527628,49380.235037816456,103.08116858545691,49483.316206402145,682633.3091764181,6494216.702074864,7176850.011251282
2016-07-20,2016-07-20,39.790001,1.5873015873015872e-05,2.3809523809523807e-05,0,848918.8050314536,838127.258286836,-210977.76505965603,7343187.048917763,7332447.043166494,6494268.24388631,6494319.784879658,0.005249975000000085,-8394805.482701479,-44439.073821309255,103.08198669645935,-44335.991834613495,648918.8050314536,6494268.24388631,7143187.048917763,44305.11968476325,554391058.4211624,0.0,8489188.050314536,-8489188.050314536,-44506.05088958214,103.08280479442328,-44402.96808478795,638127.258286836,6494319.784879658,7132447.043166494
2016-07-21,2016-07-21,39.830002,1.5873015873015872e-05,2.3809523809523807e-05,0,857224.8757309279,846366.7035459713,-210977.76505965603,7351596.203240156,7340789.57286666,6494371.327509228,6494422.869320688,-0.001005302814644406,-8403244.80428163,8306.070699474309,103.08362291846424,8409.154322393239,657224.8757309279,6494371.327509228,7151596.203240156,8439.321580151096,554399497.7427425,0.0,8572248.757309278,-8572248.757309278,8239.445259135333,103.08444102946669,8342.529700165614,646366.7035459713,6494422.869320688,7140789.57286666
2016-07-22,2016-07-22,39.924999,1.5873015873015872e-05,2.3809523809523807e-05,0,877133.7456401368,866208.8810360985,-210977.76505965603,7371608.158408532,7360734.836434077,6494474.412768395,6494525.955397978,-0.002385061391661475,-8423287.059029002,19908.86990920885,103.08525916654617,20011.955168375745,677133.7456401368,6494474.412768395,7171608.158408532,20042.25474737212,554419539.9974899,0.0,8771337.456401367,-8771337.456401367,19842.177490127156,103.08607729058713,19945.26356741693,666208.8810360985,6494525.955397978,7160734.836434077
2016-07-25,2016-07-25,39.884998,1.5873015873015872e-05,2.3809523809523807e-05,0,868560.7210907952,857569.0050021615,-210977.76505965603,7363138.220754631,7352198.048113718,6494577.499663835,6494629.043111556,0.0010019035942867931,-8414847.73744885,-8573.024549341528,103.08689544070512,-8469.937653901055,668560.7210907952,6494577.499663835,7163138.220754631,8439.321580151096,554427979.3190701,0.0,8685607.210907953,-8685607.210907953,-8639.876033936976,103.0877135777846,-8536.788320358843,657569.0050021615,6494629.043111556,7152198.048113718
