Date,Today Price,Tomorrow Prediction,Cash,Bank Account,Position,Holding Value,Leverage,Leverage for Short,Leverage for Long,Losses,Leverage Factor,Transaction Cost,Status,Unused_Capital
2018-08-03,34.299999,34.15426863937695,2006832.8736775182,0,-52888.71099655474,200683.28736775182,1806149.5863097664,1806149.5863097664,0.0,Not Update,9.0,0,New Day Start,200683.28736775182
2018-08-03,34.299999,34.15426863937695,192750.1393844015,0,0.0,192750.1393844015,0.0,0.0,0.0,-7933.147983350325,9.0,0,Wrong Decision On Short and Close Position,192750.1393844015
2018-08-03,34.299999,34.15426863937695,1927501.393844015,0,-50575.839796951994,192750.1393844015,1734751.2544596135,1734751.2544596135,0.0,Not Update,9.0,0,Start Short Position,192750.1393844015
2018-08-03,34.299999,34.15426863937695,1927501.393844015,0,-50575.839796951994,192750.1393844015,1734751.2544596135,1734751.2544596135,0.0,Not Update,9.0,0,End of Day,192750.1393844015
2018-08-06,34.349998,34.31633538618649,1927501.393844015,0,-50575.839796951994,192750.1393844015,1734751.2544596135,1734751.2544596135,0.0,Not Update,9.0,0,New Day Start,192750.1393844015
2018-08-06,34.349998,34.31633538618649,190221.39797039353,0,0.0,190221.39797039353,0.0,0.0,0.0,-2528.7414140079636,9.0,0,Wrong Decision On Short and Close Position,190221.39797039353
2018-08-06,34.349998,34.31633538618649,1902213.9797039353,0,-49839.67049236922,190221.39797039353,1711992.5817335418,1711992.5817335418,0.0,Not Update,9.0,0,Start Short Position,190221.39797039353
2018-08-06,34.349998,34.31633538618649,1902213.9797039353,0,-49839.67049236922,190221.39797039353,1711992.5817335418,1711992.5817335418,0.0,Not Update,9.0,0,End of Day,190221.39797039353
2018-08-07,34.189999,34.31203038563751,1902213.9797039353,0,-49839.67049236922,190221.39797039353,1711992.5817335418,1711992.5817335418,0.0,Not Update,9.0,0,New Day Start,190221.39797039353
2018-08-07,34.189999,34.31203038563751,198195.69540950214,0,0.0,198195.69540950214,0.0,0.0,0.0,Not Update,9.0,0,Close Short Position,198195.69540950214
2018-08-07,34.189999,34.31203038563751,198195.69540950214,0,52172.01845152202,198195.69540950214,1783761.2586855192,0.0,1783761.2586855192,Not Update,9.0,0,Start Long Position,198195.69540950214
2018-08-07,34.189999,34.31203038563751,198195.69540950214,0,52172.01845152202,198195.69540950214,1783761.2586855192,0.0,1783761.2586855192,Not Update,9.0,0,End of Day,198195.69540950214
2018-08-08,34.220001,34.24055264150007,198195.69540950214,0,52172.01845152202,198195.69540950214,1783761.2586855192,0.0,1783761.2586855192,Not Update,9.0,0,New Day Start,198195.69540950214
2018-08-08,34.220001,34.24055264150007,199760.96030708496,0,0.0,199760.96030708496,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,199760.96030708496
2018-08-08,34.220001,34.24055264150007,199760.96030708496,0,52537.948282461024,199760.96030708496,1797848.6427637646,0.0,1797848.6427637646,Not Update,9.0,0,Start Long Position,199760.96030708496
2018-08-08,34.220001,34.24055264150007,199760.96030708496,0,52537.948282461024,199760.96030708496,1797848.6427637646,0.0,1797848.6427637646,Not Update,9.0,0,End of Day,199760.96030708496
2018-08-09,34.470001,34.198615210571674,199760.96030708496,0,52537.948282461024,199760.96030708496,1797848.6427637646,0.0,1797848.6427637646,Not Update,9.0,0,New Day Start,199760.96030708496
2018-08-09,34.470001,34.198615210571674,212895.44737770036,0,0.0,212895.44737770036,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,212895.44737770036
2018-08-09,34.470001,34.198615210571674,2128954.4737770036,0,-55586.27707609591,212895.44737770036,1916059.0263993032,1916059.0263993032,0.0,Not Update,9.0,0,Start Short Position,212895.44737770036
2018-08-09,34.470001,34.198615210571674,2128954.4737770036,0,-55586.27707609591,212895.44737770036,1916059.0263993032,1916059.0263993032,0.0,Not Update,9.0,0,End of Day,212895.44737770036
2018-08-10,34.73,34.47143830225079,2128954.4737770036,0,-55586.27707609591,212895.44737770036,1916059.0263993032,1916059.0263993032,0.0,Not Update,9.0,0,New Day Start,212895.44737770036
2018-08-10,34.73,34.47143830225079,198443.0709241929,0,0.0,198443.0709241929,0.0,0.0,0.0,-14452.376453507459,9.0,0,Wrong Decision On Short and Close Position,198443.0709241929
2018-08-10,34.73,34.47143830225079,1984430.709241929,0,-51424.924800395514,198443.0709241929,1785987.638317736,1785987.638317736,0.0,Not Update,9.0,0,Start Short Position,198443.0709241929
2018-08-10,34.73,34.47143830225079,1984430.709241929,0,-51424.924800395514,198443.0709241929,1785987.638317736,1785987.638317736,0.0,Not Update,9.0,0,End of Day,198443.0709241929
2018-08-13,34.68,34.718116547896265,1984430.709241929,0,-51424.924800395514,198443.0709241929,1785987.638317736,1785987.638317736,0.0,Not Update,9.0,0,New Day Start,198443.0709241929
2018-08-13,34.68,34.718116547896265,201014.31716421247,0,0.0,201014.31716421247,0.0,0.0,0.0,Not Update,9.0,0,Close Short Position,201014.31716421247
2018-08-13,34.68,34.718116547896265,201014.31716421247,0,52166.345284830226,201014.31716421247,1809128.8544779122,0.0,1809128.8544779122,Not Update,9.0,0,Start Long Position,201014.31716421247
2018-08-13,34.68,34.718116547896265,201014.31716421247,0,52166.345284830226,201014.31716421247,1809128.8544779122,0.0,1809128.8544779122,Not Update,9.0,0,End of Day,201014.31716421247
