Date,Today Price,Date
2016-02-18,37.785,2016-02-18
2016-02-19,37.810001,2016-02-19
2016-02-22,37.75,2016-02-22
2016-02-23,37.904999,2016-02-23
2016-02-24,37.845001,2016-02-24
2016-02-25,37.990002,2016-02-25
2016-02-26,37.639999,2016-02-26
2016-02-29,37.695,2016-02-29
2016-03-01,37.110001,2016-03-01
2016-03-02,37.240002,2016-03-02
2016-03-03,37.384998,2016-03-03
2016-03-04,37.095001,2016-03-04
2016-03-07,37.080002,2016-03-07
2016-03-08,37.490002,2016-03-08
2016-03-09,37.285,2016-03-09
2016-03-10,37.115002,2016-03-10
2016-03-11,36.764999,2016-03-11
2016-03-14,36.855,2016-03-14
2016-03-15,36.895,2016-03-15
2016-03-16,36.98,2016-03-16
2016-03-17,37.145,2016-03-17
2016-03-18,37.205002,2016-03-18
2016-03-21,36.935001,2016-03-21
2016-03-22,36.965,2016-03-22
2016-03-23,37.380001,2016-03-23
2016-03-24,37.369999,2016-03-24
2016-03-28,37.435001,2016-03-28
2016-03-29,37.810001,2016-03-29
2016-03-30,37.424999,2016-03-30
2016-03-31,37.685001,2016-03-31
2016-04-01,37.665001,2016-04-01
2016-04-04,37.700001,2016-04-04
2016-04-05,38.130001,2016-04-05
2016-04-06,37.860001,2016-04-06
2016-04-07,38.299999,2016-04-07
2016-04-08,38.035,2016-04-08
2016-04-11,38.044998,2016-04-11
2016-04-12,37.77,2016-04-12
2016-04-13,37.880001,2016-04-13
2016-04-14,37.73,2016-04-14
2016-04-15,37.994999,2016-04-15
2016-04-18,37.855,2016-04-18
2016-04-19,37.740002,2016-04-19
2016-04-20,37.375,2016-04-20
2016-04-21,37.150002,2016-04-21
2016-04-22,37.049999,2016-04-22
2016-04-25,36.919998,2016-04-25
2016-04-26,36.73,2016-04-26
2016-04-27,37.075001,2016-04-27
2016-04-28,37.244999,2016-04-28
2016-04-29,37.369999,2016-04-29
2016-05-02,36.919998,2016-05-02
2016-05-03,37.395,2016-05-03
2016-05-04,37.514999,2016-05-04
2016-05-05,37.810001,2016-05-05
2016-05-06,37.610001,2016-05-06
2016-05-09,37.689999,2016-05-09
2016-05-10,37.724998,2016-05-10
2016-05-11,37.904999,2016-05-11
2016-05-12,37.740002,2016-05-12
2016-05-13,38.134998,2016-05-13
2016-05-16,37.814999,2016-05-16
2016-05-17,37.880001,2016-05-17
2016-05-18,37.34,2016-05-18
2016-05-19,37.490002,2016-05-19
2016-05-20,37.549999,2016-05-20
2016-05-23,37.595001,2016-05-23
2016-05-24,37.465,2016-05-24
2016-05-25,37.334999,2016-05-25
2016-05-26,37.509998,2016-05-26
2016-05-27,37.435001,2016-05-27
2016-05-31,37.549999,2016-05-31
2016-06-01,37.540001,2016-06-01
